"meta__data_version","meta__created","meta__revision","info__balls_per_over","info__dates__-","info__event__match_number","info__event__name","info__gender","info__match_type","info__match_type_number","info__officials__match_referees__-","info__officials__reserve_umpires__-","info__officials__tv_umpires__-","info__officials__umpires","info__outcome__by__wickets","info__outcome__winner","info__overs","info__player_of_match__-","info__players__Australia","info__players__Sri Lanka","info__registry__people__A Zampa","info__registry__people__AJ Finch","info__registry__people__AJ Turner","info__registry__people__AJ Tye","info__registry__people__B Stanlake","info__registry__people__CK Kapugedera","info__registry__people__DAS Gunaratne","info__registry__people__EMDY Munaweera","info__registry__people__JJ Crowe","info__registry__people__JP Faulkner","info__registry__people__JRMVB Sanjaya","info__registry__people__KMDN Kulasekara","info__registry__people__M Klinger","info__registry__people__MC Henriques","info__registry__people__MD Martell","info__registry__people__MW Graham-Smith","info__registry__people__N Dickwella","info__registry__people__P Wilson","info__registry__people__PADLR Sandakan","info__registry__people__PJ Cummins","info__registry__people__S Prasanna","info__registry__people__SJ Nogajski","info__registry__people__SL Malinga","info__registry__people__TAM Siriwardana","info__registry__people__TD Paine","info__registry__people__TM Head","info__registry__people__WU Tharanga","info__season","info__team_type","info__teams","info__toss__decision","info__toss__winner","info__venue","innings__team","innings__overs__over","innings__overs__deliveries__batter","innings__overs__deliveries__bowler","innings__overs__deliveries__extras__noballs","innings__overs__deliveries__extras__legbyes","innings__overs__deliveries__extras__byes","innings__overs__deliveries__extras__wides","innings__overs__deliveries__non_striker","innings__overs__deliveries__runs__batter","innings__overs__deliveries__runs__extras","innings__overs__deliveries__runs__total","innings__overs__deliveries__wickets__kind","innings__overs__deliveries__wickets__player_out","innings__overs__deliveries__wickets__fielders__name","innings__powerplays__from","innings__powerplays__to","innings__powerplays__type","innings__target__overs","innings__target__runs"
"1.0.0","2017-02-18","2","6","2017-02-17","1","Sri Lanka in Australia T20I Series","male","T20","596","JJ Crowe","MW Graham-Smith","SJ Nogajski","MD Martell","5","Sri Lanka","20","DAS Gunaratne","AJ Finch","N Dickwella","14f96089","b8d490fd","ff1e12a0","7c7d63a2","6834d1f2","cfad138c","770494eb","5a22d91c","2e760301","808f425a","530b20e3","469ea22b","b970a03f","32198ae0","487c072e","18aca3ce","45963d9e","68304a36","79aad751","ded9240e","f78e7113","9b3f9323","a12e1d51","bf7842c9","5748e866","12b610c2","7ed9fd56","2016/17","international","Australia","field","Sri Lanka","Melbourne Cricket Ground","Australia","0","AJ Finch","SL Malinga","","","","","M Klinger","0","0","0","","","","0.1","5.7","mandatory","",""
"","","","","","","","","","","","","","P Wilson","","","","","M Klinger","WU Tharanga","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sri Lanka","","","","","","AJ Finch","SL Malinga","","","","","M Klinger","0","0","0","","","","","","","",""
"","","","","","","","","","","","","","","","","","","TM Head","EMDY Munaweera","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AJ Finch","SL Malinga","","","","","M Klinger","1","0","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","MC Henriques","DAS Gunaratne","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","M Klinger","SL Malinga","","","","","AJ Finch","2","0","2","","","","","","","",""
"","","","","","","","","","","","","","","","","","","AJ Turner","TAM Siriwardana","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","M Klinger","SL Malinga","","","","","AJ Finch","0","0","0","","","","","","","",""
"","","","","","","","","","","","","","","","","","","JP Faulkner","CK Kapugedera","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","M Klinger","SL Malinga","","","","","AJ Finch","3","0","3","","","","","","","",""
"","","","","","","","","","","","","","","","","","","TD Paine","S Prasanna","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","M Klinger","KMDN Kulasekara","","","","","AJ Finch","0","0","0","","","","","","","",""
"","","","","","","","","","","","","","","","","","","PJ Cummins","JRMVB Sanjaya","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","M Klinger","KMDN Kulasekara","","","","","AJ Finch","1","0","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","A Zampa","SL Malinga","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AJ Finch","KMDN Kulasekara","","","","","M Klinger","0","0","0","","","","","","","",""
"","","","","","","","","","","","","","","","","","","B Stanlake","KMDN Kulasekara","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AJ Finch","KMDN Kulasekara","","","","","M Klinger","0","0","0","","","","","","","",""
"","","","","","","","","","","","","","","","","","","AJ Tye","PADLR Sandakan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AJ Finch","KMDN Kulasekara","","","","","M Klinger","4","0","4","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AJ Finch","KMDN Kulasekara","","","","","M Klinger","2","0","2","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","M Klinger","JRMVB Sanjaya","","","","","AJ Finch","1","0","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AJ Finch","JRMVB Sanjaya","","","","","M Klinger","1","0","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","M Klinger","JRMVB Sanjaya","","","","","AJ Finch","0","0","0","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","M Klinger","JRMVB Sanjaya","","","","","AJ Finch","0","0","0","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","M Klinger","JRMVB Sanjaya","","","","","AJ Finch","4","0","4","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","M Klinger","JRMVB Sanjaya","","","","","AJ Finch","0","0","0","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","AJ Finch","KMDN Kulasekara","","","","","M Klinger","0","0","0","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AJ Finch","KMDN Kulasekara","","","","","M Klinger","1","0","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","M Klinger","KMDN Kulasekara","","","","","AJ Finch","1","0","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AJ Finch","KMDN Kulasekara","","","","","M Klinger","1","0","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","M Klinger","KMDN Kulasekara","","","","","AJ Finch","4","0","4","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","M Klinger","KMDN Kulasekara","","","","","AJ Finch","1","0","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","M Klinger","JRMVB Sanjaya","","","","","AJ Finch","3","0","3","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AJ Finch","JRMVB Sanjaya","","","","","M Klinger","3","0","3","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","M Klinger","JRMVB Sanjaya","","","","","AJ Finch","4","0","4","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","M Klinger","JRMVB Sanjaya","","","","","AJ Finch","4","0","4","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","M Klinger","JRMVB Sanjaya","","","","","AJ Finch","1","0","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AJ Finch","JRMVB Sanjaya","","","","","M Klinger","1","0","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","AJ Finch","S Prasanna","","","","","M Klinger","1","0","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","M Klinger","S Prasanna","","","","1","AJ Finch","0","1","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","M Klinger","S Prasanna","","","","","AJ Finch","0","0","0","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","M Klinger","S Prasanna","","","","","AJ Finch","0","0","0","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","M Klinger","S Prasanna","","","","","AJ Finch","1","0","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AJ Finch","S Prasanna","","","","","M Klinger","1","0","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","M Klinger","S Prasanna","","","","","AJ Finch","0","0","0","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","AJ Finch","PADLR Sandakan","","","","","M Klinger","1","0","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","M Klinger","PADLR Sandakan","","","","","AJ Finch","1","0","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AJ Finch","PADLR Sandakan","","","","","M Klinger","0","0","0","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AJ Finch","PADLR Sandakan","","","","","M Klinger","1","0","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","M Klinger","PADLR Sandakan","","","","","AJ Finch","1","0","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AJ Finch","PADLR Sandakan","","","","","M Klinger","2","0","2","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","M Klinger","S Prasanna","","","","","AJ Finch","0","0","0","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","M Klinger","S Prasanna","","","","","AJ Finch","1","0","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AJ Finch","S Prasanna","","","","","M Klinger","1","0","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","M Klinger","S Prasanna","","","1","","AJ Finch","0","1","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AJ Finch","S Prasanna","","","","","M Klinger","4","0","4","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AJ Finch","S Prasanna","","","","","M Klinger","1","0","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","AJ Finch","PADLR Sandakan","","","","","M Klinger","1","0","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","M Klinger","PADLR Sandakan","","","","","AJ Finch","3","0","3","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AJ Finch","PADLR Sandakan","","","","","M Klinger","1","0","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","M Klinger","PADLR Sandakan","","","","","AJ Finch","0","0","0","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","M Klinger","PADLR Sandakan","","","","","AJ Finch","0","0","0","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","M Klinger","PADLR Sandakan","","","","","AJ Finch","1","0","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","M Klinger","S Prasanna","","","","","AJ Finch","1","0","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AJ Finch","S Prasanna","","","","","M Klinger","0","0","0","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AJ Finch","S Prasanna","","","","","M Klinger","0","0","0","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AJ Finch","S Prasanna","","","","","M Klinger","0","0","0","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AJ Finch","S Prasanna","","","","","M Klinger","6","0","6","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AJ Finch","S Prasanna","","","","","M Klinger","1","0","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","AJ Finch","PADLR Sandakan","","","","","M Klinger","0","0","0","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AJ Finch","PADLR Sandakan","","1","","","M Klinger","0","1","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","M Klinger","PADLR Sandakan","","","","","AJ Finch","0","0","0","caught","M Klinger","SL Malinga","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TM Head","PADLR Sandakan","","","","","AJ Finch","2","0","2","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TM Head","PADLR Sandakan","","","","","AJ Finch","0","0","0","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TM Head","PADLR Sandakan","","","","","AJ Finch","0","0","0","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","AJ Finch","DAS Gunaratne","","","","","TM Head","6","0","6","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AJ Finch","DAS Gunaratne","","","","","TM Head","2","0","2","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AJ Finch","DAS Gunaratne","","","","","TM Head","0","0","0","caught","AJ Finch","SL Malinga","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TM Head","DAS Gunaratne","","","","","MC Henriques","1","0","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MC Henriques","DAS Gunaratne","","","","","TM Head","1","0","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TM Head","DAS Gunaratne","","","","","MC Henriques","1","0","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12","TM Head","S Prasanna","","","","","MC Henriques","0","0","0","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TM Head","S Prasanna","","","","","MC Henriques","1","0","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MC Henriques","S Prasanna","","","","","TM Head","1","0","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TM Head","S Prasanna","","","","","MC Henriques","0","0","0","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TM Head","S Prasanna","","","","","MC Henriques","1","0","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MC Henriques","S Prasanna","","","","","TM Head","1","0","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13","MC Henriques","SL Malinga","","","","","TM Head","0","0","0","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MC Henriques","SL Malinga","","","","1","TM Head","0","1","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MC Henriques","SL Malinga","","","","","TM Head","1","0","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TM Head","SL Malinga","","","","","MC Henriques","2","0","2","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TM Head","SL Malinga","","","","","MC Henriques","1","0","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MC Henriques","SL Malinga","","","","","TM Head","1","0","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TM Head","SL Malinga","","","","","MC Henriques","1","0","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","TM Head","PADLR Sandakan","","","","","MC Henriques","1","0","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MC Henriques","PADLR Sandakan","","","","","TM Head","3","0","3","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TM Head","PADLR Sandakan","","","","","MC Henriques","1","0","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MC Henriques","PADLR Sandakan","","","","","TM Head","6","0","6","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MC Henriques","PADLR Sandakan","","","","","TM Head","3","0","3","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TM Head","PADLR Sandakan","","","","","MC Henriques","2","0","2","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15","MC Henriques","JRMVB Sanjaya","","","","","TM Head","0","0","0","caught","MC Henriques","CK Kapugedera","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TM Head","JRMVB Sanjaya","","","","","AJ Turner","1","0","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AJ Turner","JRMVB Sanjaya","","","","","TM Head","2","0","2","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AJ Turner","JRMVB Sanjaya","","","","","TM Head","1","0","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TM Head","JRMVB Sanjaya","","","","","AJ Turner","2","0","2","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TM Head","JRMVB Sanjaya","","","","1","AJ Turner","0","1","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TM Head","JRMVB Sanjaya","","","","","AJ Turner","6","0","6","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16","AJ Turner","SL Malinga","","","","","TM Head","2","0","2","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AJ Turner","SL Malinga","","","","","TM Head","4","0","4","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AJ Turner","SL Malinga","","","","","TM Head","1","0","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TM Head","SL Malinga","","","","","AJ Turner","1","0","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AJ Turner","SL Malinga","","","","","TM Head","1","0","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TM Head","SL Malinga","","","","","AJ Turner","1","0","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17","TM Head","KMDN Kulasekara","","","","","AJ Turner","1","0","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AJ Turner","KMDN Kulasekara","","","","","TM Head","2","0","2","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AJ Turner","KMDN Kulasekara","1","","","","TM Head","0","1","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AJ Turner","KMDN Kulasekara","","","","","TM Head","1","0","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TM Head","KMDN Kulasekara","","","","","AJ Turner","1","0","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AJ Turner","KMDN Kulasekara","","","","","TM Head","1","0","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TM Head","KMDN Kulasekara","","","","","AJ Turner","2","0","2","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18","AJ Turner","SL Malinga","","","","","TM Head","2","0","2","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AJ Turner","SL Malinga","","","","","TM Head","1","0","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TM Head","SL Malinga","","","","","AJ Turner","2","0","2","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TM Head","SL Malinga","","","","","AJ Turner","0","0","0","caught","TM Head","S Prasanna","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AJ Turner","SL Malinga","","","","","JP Faulkner","0","0","0","caught","AJ Turner","S Prasanna","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","JP Faulkner","SL Malinga","","","","","TD Paine","1","0","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19","JP Faulkner","KMDN Kulasekara","","","","","TD Paine","4","0","4","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","JP Faulkner","KMDN Kulasekara","","","","","TD Paine","0","0","0","","","","","","","",""
